"","SystemId","SystemName","AgeScore","CalmarScore","CalmarMessage","SharpeScore","StatValueVal","Score","i.CalmarMessage","C2Score"
"222",13859413,"Q-TIPS AGRESSIVE",9,4,"",1,0,4,"",5.75
"223",13862369,"eSP Handle",9,4,"",1,0,4,"",5.75
"224",13866520,"CME mini DT",9,4,"",1,0,4,"",5.75
"225",13871070,"Value Stocks",9,4,"",1,-0.18,4,"",5.75
"226",13875584,"Aggressive",9,4,"",1,-0.02,4,"",5.75
"227",13923541,"Congestion Breakout",9,4,"",1,0,4,"",5.75
"228",13931967,"Forex Microtrend Portfolio",9,4,"",1,0,4,"",5.75
"229",34966458,"MS",6,10,"Too high Calmar value 17.38",1,17.38,10,"Too high Calmar value 17.38",5.75
"230",35620213,"Easy EOD Futures",6,10,"Too high Calmar value 21.97",1,21.97,10,"Too high Calmar value 21.97",5.75
"231",38581462,"North TR",6,10,"Too high Calmar value 21.48",1,21.48,10,"Too high Calmar value 21.48",5.75
"232",42075199,"OranjFx",6,10,"Too high Calmar value 16.21",1,16.21,10,"Too high Calmar value 16.21",5.75
"233",42446526,"PA & Murray Maths",6,10,"Too high Calmar value 13.11",1,13.11,10,"Too high Calmar value 13.11",5.75
"234",43018480,"FUNDtango3000",6,10,"Too high Calmar value 27.39",1,27.39,10,"Too high Calmar value 27.39",5.75
"235",43445293,"2nd killed",6,10,"Too high Calmar value 12.8",1,12.8,10,"Too high Calmar value 12.8",5.75
"236",44321629,"Forex Eminence",6,10,"Too high Calmar value 12.11",1,12.11,10,"Too high Calmar value 12.11",5.75
"237",10514128,"happy trading",9,3,"",1,-0.76,3,"",5.5
"238",11299513,"Fly Forex",9,3,"",1,-0.75,3,"",5.5
"239",11341971,"Physics",9,3,"",1,-0.75,3,"",5.5
"240",11744411,"SPY-Omega",9,3,"",1,-0.75,3,"",5.5
"241",11744898,"QQQQ-Omega",9,3,"",1,-0.78,3,"",5.5
"242",11747797,"Chameleon Investor",9,3,"",1,-0.75,3,"",5.5
"243",13316402,"Marathon",9,3,"",1,-0.77,3,"",5.5
"244",16036333,"AG ODO-IBADOFIN HedgeFund",8,5,"",1,2.15,5,"",5.5
"245",12570749,"API Test System",8,4,"",1,-0.01,4,"",5.25
"246",13472311,"CoinCollector",8,4,"",1,0,4,"",5.25
"247",13935755,"vicinoo! trading - SuperSwings",8,4,"",1,-0.05,4,"",5.25
"248",13941479,"BuySell Market Timing",8,4,"",1,0,4,"",5.25
"249",13941523,"BuySell Rydex",8,4,"",1,-0.02,4,"",5.25
"250",13954053,"Forex Trend Reversals  -APT Forex-",8,4,"",1,0,4,"",5.25
"251",13958729,"Dave's Trader1688 Future Terminator",8,4,"",1,0.11,4,"",5.25
"252",13985913,"Fund of Funds",8,4,"",1,-0.04,4,"",5.25
"253",13992325,"ARS",8,4,"",1,-0.03,4,"",5.25
"254",14006868,"LG Currencies",8,4,"",1,0,4,"",5.25
"255",14015527,"Koan 2 EURUSD",8,4,"",1,0.06,4,"",5.25
"256",14016246,"Koan 1 SP",8,4,"",1,0.11,4,"",5.25
"257",14017764,"LG Options",8,4,"",1,0,4,"",5.25
"258",14026033,"Momentum Breakout",8,4,"",1,0,4,"",5.25
"259",14037759,"Koan 1 ES",8,4,"",1,0.19,4,"",5.25
"260",14049067,"FX-Udio",8,4,"",1,-0.03,4,"",5.25
"261",14049120,"FX-UdioMiser",8,4,"",1,0,4,"",5.25
"262",14049139,"FX-Udio+3",8,4,"",1,0,4,"",5.25
"263",14069045,"consistent profitable Dow emini trading",8,4,"",1,0.04,4,"",5.25
"264",14075854,"test trading",8,4,"",1,0,4,"",5.25
"265",14133415,"Tradex",8,4,"",1,0,4,"",5.25
"266",14134217,"Commodities P/X (Test System)",8,4,"",1,0.01,4,"",5.25
"267",14134968,"LG Commodities",8,4,"",1,0,4,"",5.25
"268",14173944,"S&P/NASD/Russell OptionsPortfolioGrowth",8,4,"",1,0,4,"",5.25
"269",14227830,"SARF2!",8,4,"",1,0,4,"",5.25
"270",14228395,"S&P/NASD/Russell FuturesPortfolioGrowth",8,4,"",1,0,4,"",5.25
"271",14269188,"IOR",8,4,"",1,0,4,"",5.25
"272",14312978,"NASDAQ PerformStocksPortfolioGrowth",8,4,"",1,0.42,4,"",5.25
"273",14322476,"Option Leverage",8,4,"",1,0,4,"",5.25
"274",14330331,"Contra Trading",8,4,"",1,0,4,"",5.25
"275",14398106,"Momentum Buys",8,4,"",1,-0.06,4,"",5.25
"276",14436134,"40 pips a day! FOREX",8,4,"",1,0,4,"",5.25
"277",14470109,"TradeMax",8,4,"",1,0.15,4,"",5.25
"278",14483243,"Neural Forex",8,4,"",1,0.01,4,"",5.25
